"Información Financiera",,,
"Información Financiera","Cuenta Pública","Ejercicio 2015","Primer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2015","Segundo Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2015","Tercer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2015","Cuarto Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2015","Anual"
"Información Financiera","Cuenta Pública","Ejercicio 2016","Primer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2016","Segundo Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2016","Tercer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2016","Cuarto Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2016","Anual"
"Información Financiera","Cuenta Pública","Ejercicio 2017","Primer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2017","Segundo Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2017","Tercer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2017","Cuarto Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2017","Anual"
"Información Financiera","Cuenta Pública","Ejercicio 2018","Primer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2018","Segundo Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2018","Tercer Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2018","Cuarto Trimestre"
"Información Financiera","Cuenta Pública","Ejercicio 2018","Anual"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2015","Primer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2015","Segundo Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2015","Tercer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2015","Cuarto Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2015","Anual"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2016","Primer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2016","Segundo Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2016","Tercer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2016","Cuarto Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2016","Anual"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2017","Primer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2017","Segundo Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2017","Tercer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2017","Cuarto Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2017","Anual"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2018","Primer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2018","Segundo Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2018","Tercer Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2018","Cuarto Trimestre"
"Información Financiera","Inf. Adicional a Cta. Pública","Ejercicio 2018","Anual"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2015","Primer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2015","Segundo Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2015","Tercer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2015","Cuarto Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2015","Anual"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2016","Primer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2016","Segundo Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2016","Tercer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2016","Cuarto Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2016","Anual"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2017","Primer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2017","Segundo Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2017","Tercer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2017","Cuarto Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2017","Anual"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2018","Primer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2018","Segundo Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2018","Tercer Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2018","Cuarto Trimestre"
"Información Financiera","Cuenta Pública Consolidada","Ejercicio 2018","Anual"
